
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  1,529 reads (2,911,213 bp)
  1,745 reads (3,403,769 bp)
  1,929 reads (3,887,393 bp)
  2,152 reads (4,378,673 bp)
  2,328 reads (4,863,039 bp)
  2,532 reads (5,350,759 bp)
  2,735 reads (5,835,692 bp)
  2,966 reads (6,321,814 bp)
  3,155 reads (6,808,967 bp)
  3,353 reads (7,293,327 bp)
  3,538 reads (7,779,337 bp)
  3,751 reads (8,264,472 bp)
  3,956 reads (8,755,229 bp)
  4,102 reads (9,239,577 bp)
  4,290 reads (9,723,801 bp)
  4,455 reads (10,208,469 bp)
  4,648 reads (10,692,164 bp)
  4,827 reads (11,179,520 bp)
  5,019 reads (11,663,559 bp)
  5,226 reads (12,149,698 bp)
  5,387 reads (12,633,683 bp)
  5,572 reads (13,117,665 bp)
  5,757 reads (13,605,538 bp)
  5,934 reads (14,091,331 bp)
  6,115 reads (14,577,695 bp)
  6,278 reads (15,063,992 bp)
  6,458 reads (15,556,648 bp)
  6,642 reads (16,040,315 bp)
  6,823 reads (16,526,463 bp)
  7,002 reads (17,010,351 bp)
  7,198 reads (17,496,637 bp)
  7,387 reads (17,981,801 bp)
  7,579 reads (18,470,170 bp)
  7,724 reads (18,964,837 bp)
  7,899 reads (19,449,021 bp)
  8,082 reads (19,933,423 bp)
  8,263 reads (20,417,745 bp)
  8,436 reads (20,901,854 bp)
  8,615 reads (21,386,017 bp)
  8,802 reads (21,881,430 bp)
  8,982 reads (22,368,846 bp)
  9,145 reads (22,852,698 bp)
  9,314 reads (23,336,820 bp)
  9,499 reads (23,821,747 bp)
  9,656 reads (24,306,756 bp)
  9,809 reads (24,794,237 bp)
  9,990 reads (25,278,614 bp)
  10,159 reads (25,762,625 bp)
  10,328 reads (26,246,466 bp)
  10,490 reads (26,730,462 bp)
  10,660 reads (27,216,581 bp)
  10,831 reads (27,700,718 bp)
  11,019 reads (28,186,268 bp)
  11,209 reads (28,670,341 bp)
  11,373 reads (29,155,808 bp)
  11,570 reads (29,647,053 bp)
  11,747 reads (30,131,014 bp)
  11,918 reads (30,614,633 bp)
  12,103 reads (31,100,565 bp)
  12,291 reads (31,584,302 bp)
  12,448 reads (32,070,056 bp)
  12,624 reads (32,554,177 bp)
  12,786 reads (33,042,928 bp)
  12,941 reads (33,528,065 bp)
  13,100 reads (34,012,181 bp)
  13,292 reads (34,500,381 bp)
  13,437 reads (34,985,964 bp)
  13,620 reads (35,487,083 bp)
  13,790 reads (35,973,264 bp)
  13,943 reads (36,458,709 bp)
  14,138 reads (36,944,648 bp)
  14,309 reads (37,429,508 bp)
  14,494 reads (37,914,688 bp)
  14,671 reads (38,407,629 bp)
  14,871 reads (38,891,394 bp)
  15,059 reads (39,375,118 bp)
  15,232 reads (39,865,363 bp)
  15,426 reads (40,351,177 bp)
  15,590 reads (40,835,449 bp)
  15,773 reads (41,323,199 bp)
  15,948 reads (41,812,120 bp)
  16,112 reads (42,295,981 bp)
  16,289 reads (42,781,165 bp)
  16,463 reads (43,267,125 bp)
  16,650 reads (43,751,740 bp)
  16,810 reads (44,240,621 bp)
  16,955 reads (44,727,544 bp)
  17,157 reads (45,212,882 bp)
  17,362 reads (45,696,725 bp)
  17,506 reads (46,180,894 bp)
  17,682 reads (46,665,344 bp)
  17,874 reads (47,149,628 bp)
  18,024 reads (47,636,824 bp)
  18,189 reads (48,121,964 bp)
  18,363 reads (48,606,476 bp)
  18,522 reads (49,091,233 bp)
  18,689 reads (49,583,413 bp)
