
Scoring long reads

  213 reads (485,345 bp)
  417 reads (972,241 bp)
  583 reads (1,462,064 bp)
  732 reads (1,946,198 bp)
  868 reads (2,431,285 bp)
  1,001 reads (2,926,051 bp)
  1,139 reads (3,410,595 bp)
  1,282 reads (3,894,892 bp)
  1,419 reads (4,380,025 bp)
  1,555 reads (4,875,146 bp)
  1,695 reads (5,359,280 bp)
  1,846 reads (5,857,281 bp)
  1,992 reads (6,353,981 bp)
  2,125 reads (6,837,799 bp)
  2,268 reads (7,323,010 bp)
  2,411 reads (7,809,380 bp)
  2,544 reads (8,313,732 bp)
  2,683 reads (8,798,303 bp)
  2,797 reads (9,304,500 bp)
  2,944 reads (9,789,608 bp)
  3,077 reads (10,282,965 bp)
  3,219 reads (10,768,024 bp)
  3,375 reads (11,255,985 bp)
  3,497 reads (11,740,376 bp)
  3,642 reads (12,224,592 bp)
  3,769 reads (12,708,556 bp)
  3,902 reads (13,197,725 bp)
  4,034 reads (13,682,401 bp)
  4,160 reads (14,167,975 bp)
  4,281 reads (14,659,131 bp)
  4,430 reads (15,150,260 bp)
  4,552 reads (15,634,446 bp)
  4,688 reads (16,118,981 bp)
  4,833 reads (16,607,602 bp)
  4,969 reads (17,095,219 bp)
  5,095 reads (17,579,451 bp)
  5,218 reads (18,069,878 bp)
  5,364 reads (18,558,960 bp)
  5,504 reads (19,043,228 bp)
  5,634 reads (19,529,977 bp)
  5,766 reads (20,013,714 bp)
  5,906 reads (20,504,058 bp)
  6,030 reads (21,002,533 bp)
  6,153 reads (21,493,042 bp)
  6,284 reads (21,978,023 bp)
  6,424 reads (22,463,066 bp)
  6,549 reads (22,948,668 bp)
  6,664 reads (23,433,820 bp)
  6,798 reads (23,918,995 bp)
  6,928 reads (24,405,190 bp)
  7,061 reads (24,890,717 bp)
  7,191 reads (25,379,957 bp)
  7,321 reads (25,869,557 bp)
  7,463 reads (26,355,485 bp)
  7,598 reads (26,851,488 bp)
  7,736 reads (27,335,840 bp)
  7,876 reads (27,823,011 bp)
  8,001 reads (28,306,821 bp)
  8,133 reads (28,792,909 bp)
  8,257 reads (29,279,343 bp)
  8,407 reads (29,764,343 bp)
  8,534 reads (30,253,405 bp)
  8,660 reads (30,738,325 bp)
  8,783 reads (31,222,365 bp)
  8,904 reads (31,715,981 bp)
  9,045 reads (32,205,812 bp)
  9,161 reads (32,692,055 bp)
  9,288 reads (33,188,484 bp)
  9,417 reads (33,672,326 bp)
  9,536 reads (34,161,170 bp)
  9,688 reads (34,651,647 bp)
  9,812 reads (35,145,942 bp)
  9,957 reads (35,630,389 bp)
  10,080 reads (36,115,009 bp)
  10,215 reads (36,598,979 bp)
  10,350 reads (37,083,160 bp)
  10,473 reads (37,570,305 bp)
  10,615 reads (38,060,702 bp)
  10,746 reads (38,552,489 bp)
  10,883 reads (39,038,025 bp)
  11,008 reads (39,527,051 bp)
  11,126 reads (40,014,726 bp)
  11,264 reads (40,507,247 bp)
  11,406 reads (40,992,246 bp)
  11,531 reads (41,479,657 bp)
  11,647 reads (41,977,391 bp)
  11,777 reads (42,463,121 bp)
  11,918 reads (42,950,638 bp)
  12,038 reads (43,435,234 bp)
  12,165 reads (43,926,098 bp)
  12,311 reads (44,423,893 bp)
  12,427 reads (44,919,015 bp)
  12,553 reads (45,418,986 bp)
  12,689 reads (45,913,129 bp)
  12,820 reads (46,400,720 bp)
  12,940 reads (46,886,944 bp)
  13,077 reads (47,372,258 bp)
  13,190 reads (47,856,618 bp)
  13,307 reads (48,343,994 bp)
  13,465 reads (48,828,715 bp)
  13,602 reads (49,313,318 bp)
  13,729 reads (49,800,139 bp)
  13,864 reads (50,286,535 bp)
  13,998 reads (50,777,264 bp)
  14,152 reads (51,264,381 bp)
  14,296 reads (51,755,518 bp)
  14,423 reads (52,240,952 bp)
  14,537 reads (52,729,995 bp)
  14,665 reads (53,215,472 bp)
  14,793 reads (53,702,347 bp)
  14,930 reads (54,191,229 bp)
  15,058 reads (54,677,370 bp)
  15,193 reads (55,170,860 bp)
  15,300 reads (55,661,662 bp)
  15,432 reads (56,146,387 bp)
  15,578 reads (56,634,258 bp)
  15,715 reads (57,118,284 bp)
  15,848 reads (57,603,617 bp)
  15,962 reads (58,088,066 bp)
  16,086 reads (58,573,500 bp)
  16,209 reads (59,065,603 bp)
  16,325 reads (59,553,047 bp)
  16,464 reads (60,038,939 bp)
  16,581 reads (60,522,744 bp)
  16,689 reads (61,006,808 bp)
  16,807 reads (61,492,726 bp)
  16,941 reads (61,979,260 bp)
  17,065 reads (62,467,447 bp)
  17,219 reads (62,953,809 bp)
  17,355 reads (63,440,922 bp)
  17,488 reads (63,928,834 bp)
  17,609 reads (64,413,416 bp)
  17,730 reads (64,898,879 bp)
  17,850 reads (65,382,566 bp)
  17,969 reads (65,870,455 bp)
  18,095 reads (66,355,341 bp)
  18,225 reads (66,840,413 bp)
  18,381 reads (67,325,523 bp)
  18,527 reads (67,816,192 bp)
  18,650 reads (68,302,904 bp)
  18,779 reads (68,788,213 bp)
  18,885 reads (69,275,944 bp)
  19,025 reads (69,761,082 bp)
  19,149 reads (70,247,397 bp)
  19,268 reads (70,735,038 bp)
  19,392 reads (71,221,457 bp)
  19,528 reads (71,705,524 bp)
  19,653 reads (72,191,026 bp)
  19,773 reads (72,674,772 bp)
  19,910 reads (73,160,064 bp)
  20,025 reads (73,645,015 bp)
  20,154 reads (74,133,518 bp)
  20,276 reads (74,646,095 bp)
  20,414 reads (75,135,015 bp)
  20,543 reads (75,619,184 bp)
  20,672 reads (76,103,478 bp)
  20,790 reads (76,589,364 bp)
  20,923 reads (77,073,758 bp)
  21,068 reads (77,558,225 bp)
  21,224 reads (78,052,479 bp)
  21,371 reads (78,536,661 bp)
  21,503 reads (79,023,327 bp)
  21,635 reads (79,507,152 bp)
  21,767 reads (79,994,110 bp)
  21,883 reads (80,490,146 bp)
  22,007 reads (80,976,670 bp)
  22,134 reads (81,462,782 bp)
  22,256 reads (81,948,468 bp)
  22,379 reads (82,436,183 bp)
  22,522 reads (82,920,172 bp)
  22,643 reads (83,408,342 bp)
  22,756 reads (83,900,251 bp)
  22,878 reads (84,393,845 bp)
  23,023 reads (84,877,498 bp)
  23,150 reads (85,372,763 bp)
  23,259 reads (85,856,476 bp)
  23,392 reads (86,341,633 bp)
  23,529 reads (86,828,562 bp)
  23,662 reads (87,322,541 bp)
  23,794 reads (87,807,678 bp)
  23,923 reads (88,306,594 bp)
  24,056 reads (88,802,139 bp)
  24,192 reads (89,289,534 bp)
  24,324 reads (89,773,982 bp)
  24,451 reads (90,258,319 bp)
  24,588 reads (90,742,496 bp)
  24,722 reads (91,228,362 bp)
  24,851 reads (91,715,884 bp)
  24,979 reads (92,201,462 bp)
  25,132 reads (92,685,099 bp)
  25,258 reads (93,172,191 bp)
  25,393 reads (93,665,913 bp)
  25,513 reads (94,151,567 bp)
  25,613 reads (94,643,717 bp)
  25,746 reads (95,135,643 bp)
  25,870 reads (95,621,288 bp)
  26,008 reads (96,113,836 bp)
  26,096 reads (96,601,995 bp)
  26,200 reads (97,088,718 bp)
  26,389 reads (97,573,167 bp)
  26,568 reads (98,057,648 bp)
  26,758 reads (98,541,842 bp)
  26,888 reads (99,031,974 bp)
  27,033 reads (99,520,496 bp)
  27,147 reads (100,009,315 bp)
  27,280 reads (100,494,435 bp)
  27,417 reads (100,983,804 bp)
  27,545 reads (101,468,604 bp)
  27,685 reads (101,956,322 bp)
  27,837 reads (102,442,552 bp)
  27,948 reads (102,931,317 bp)
  28,082 reads (103,414,996 bp)
  28,200 reads (103,898,613 bp)
  28,333 reads (104,389,248 bp)
  28,455 reads (104,873,207 bp)
  28,571 reads (105,357,402 bp)
  28,698 reads (105,843,405 bp)
  28,831 reads (106,328,924 bp)
  28,963 reads (106,813,098 bp)
  29,114 reads (107,298,914 bp)
  29,251 reads (107,786,242 bp)
  29,368 reads (108,270,789 bp)
  29,497 reads (108,766,470 bp)
  29,645 reads (109,250,632 bp)
  29,776 reads (109,743,608 bp)
  29,898 reads (110,228,656 bp)
  30,020 reads (110,718,944 bp)
  30,149 reads (111,202,810 bp)
  30,294 reads (111,692,666 bp)
  30,431 reads (112,177,225 bp)
  30,563 reads (112,665,813 bp)
  30,697 reads (113,168,264 bp)
  30,828 reads (113,652,528 bp)
  30,975 reads (114,137,030 bp)
  31,111 reads (114,622,246 bp)
  31,255 reads (115,107,081 bp)
  31,390 reads (115,591,285 bp)
  31,524 reads (116,075,917 bp)
  31,663 reads (116,560,114 bp)
  31,804 reads (117,044,557 bp)
  31,942 reads (117,529,025 bp)
  32,090 reads (118,012,898 bp)
  32,226 reads (118,497,521 bp)
  32,394 reads (118,981,844 bp)
  32,548 reads (119,468,555 bp)
  32,688 reads (119,958,701 bp)
  32,824 reads (120,444,302 bp)
  32,957 reads (120,928,159 bp)
  33,094 reads (121,422,540 bp)
  33,226 reads (121,907,123 bp)
  33,381 reads (122,391,212 bp)
  33,526 reads (122,885,545 bp)
  33,647 reads (123,370,301 bp)
  33,786 reads (123,855,228 bp)
  33,922 reads (124,339,574 bp)
  34,058 reads (124,833,738 bp)
  34,189 reads (125,320,613 bp)
  34,313 reads (125,805,573 bp)
  34,427 reads (126,296,122 bp)
  34,561 reads (126,780,327 bp)
  34,692 reads (127,265,831 bp)
  34,823 reads (127,750,513 bp)
  34,959 reads (128,236,776 bp)
  35,090 reads (128,722,419 bp)
  35,220 reads (129,206,992 bp)
  35,343 reads (129,693,000 bp)
  35,468 reads (130,183,744 bp)
  35,619 reads (130,668,442 bp)
  35,754 reads (131,156,542 bp)
  35,890 reads (131,644,718 bp)
  36,022 reads (132,134,467 bp)
  36,147 reads (132,619,071 bp)
  36,272 reads (133,103,385 bp)
  36,391 reads (133,590,018 bp)
  36,534 reads (134,077,815 bp)
  36,679 reads (134,565,287 bp)
  36,819 reads (135,050,899 bp)
  36,935 reads (135,538,078 bp)
  37,064 reads (136,028,579 bp)
  37,181 reads (136,521,864 bp)
  37,306 reads (137,006,138 bp)
  37,445 reads (137,492,209 bp)
