
Scoring long reads

  254 reads (486,969 bp)
  487 reads (971,087 bp)
  732 reads (1,457,895 bp)
  960 reads (1,944,155 bp)
  1,170 reads (2,428,977 bp)
  1,344 reads (2,913,920 bp)
  1,538 reads (3,397,631 bp)
  1,726 reads (3,882,928 bp)
  1,907 reads (4,373,324 bp)
  2,083 reads (4,858,714 bp)
  2,250 reads (5,343,162 bp)
  2,435 reads (5,828,641 bp)
  2,600 reads (6,313,190 bp)
  2,787 reads (6,797,746 bp)
  2,984 reads (7,281,619 bp)
  3,172 reads (7,766,564 bp)
  3,361 reads (8,252,858 bp)
  3,542 reads (8,738,613 bp)
  3,724 reads (9,222,291 bp)
  3,906 reads (9,707,749 bp)
  4,074 reads (10,192,898 bp)
  4,261 reads (10,679,317 bp)
  4,437 reads (11,166,626 bp)
  4,615 reads (11,650,943 bp)
  4,761 reads (12,135,003 bp)
  4,946 reads (12,623,070 bp)
  5,099 reads (13,109,232 bp)
  5,271 reads (13,596,459 bp)
  5,441 reads (14,080,607 bp)
  5,609 reads (14,565,278 bp)
  5,791 reads (15,052,331 bp)
  5,961 reads (15,537,824 bp)
  6,133 reads (16,022,722 bp)
  6,298 reads (16,512,223 bp)
  6,457 reads (16,996,160 bp)
  6,634 reads (17,483,350 bp)
  6,795 reads (17,967,208 bp)
  6,962 reads (18,450,838 bp)
  7,140 reads (18,935,815 bp)
  7,297 reads (19,421,743 bp)
  7,459 reads (19,905,400 bp)
  7,620 reads (20,390,162 bp)
  7,786 reads (20,875,221 bp)
  7,946 reads (21,359,630 bp)
  8,111 reads (21,843,927 bp)
  8,291 reads (22,330,575 bp)
  8,467 reads (22,817,564 bp)
  8,622 reads (23,302,586 bp)
  8,786 reads (23,792,537 bp)
  8,953 reads (24,280,364 bp)
  9,129 reads (24,768,636 bp)
  9,310 reads (25,254,210 bp)
  9,486 reads (25,739,625 bp)
  9,678 reads (26,224,037 bp)
  9,861 reads (26,711,287 bp)
  10,029 reads (27,196,134 bp)
  10,203 reads (27,685,722 bp)
  10,364 reads (28,172,036 bp)
  10,525 reads (28,656,818 bp)
  10,690 reads (29,142,329 bp)
  10,834 reads (29,630,823 bp)
  10,987 reads (30,114,938 bp)
  11,136 reads (30,605,002 bp)
  11,306 reads (31,089,027 bp)
  11,460 reads (31,576,821 bp)
  11,634 reads (32,060,638 bp)
  11,798 reads (32,544,785 bp)
  11,974 reads (33,030,321 bp)
  12,152 reads (33,520,340 bp)
  12,337 reads (34,007,227 bp)
  12,517 reads (34,493,831 bp)
  12,680 reads (34,978,119 bp)
  12,866 reads (35,463,824 bp)
  13,040 reads (35,948,942 bp)
  13,193 reads (36,434,734 bp)
  13,361 reads (36,918,844 bp)
  13,531 reads (37,403,464 bp)
  13,694 reads (37,887,130 bp)
  13,857 reads (38,375,846 bp)
  14,037 reads (38,860,620 bp)
  14,205 reads (39,344,757 bp)
  14,372 reads (39,828,836 bp)
  14,526 reads (40,318,210 bp)
  14,701 reads (40,803,873 bp)
  14,855 reads (41,291,880 bp)
  15,011 reads (41,776,289 bp)
  15,173 reads (42,260,247 bp)
  15,355 reads (42,744,887 bp)
  15,510 reads (43,228,736 bp)
  15,682 reads (43,714,218 bp)
  15,837 reads (44,198,575 bp)
  16,002 reads (44,684,236 bp)
  16,158 reads (45,171,606 bp)
  16,346 reads (45,658,419 bp)
  16,488 reads (46,143,127 bp)
  16,667 reads (46,633,792 bp)
