#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_8	566	787	+	KKIFNO_00010	8.3	8.1		RefSeq:WP_014233763.1, SO:0001217, UniParc:UPI000243BCDB, UniRef:UniRef100_A0A1B1EH10, UniRef:UniRef50_A0A1E5BDZ6, UniRef:UniRef90_A0A0L7U885
contig_8	17065	17493	-	KKIFNO_00100	15.8	7.7		RefSeq:WP_020334129.1, SO:0001217, UniParc:UPI000358034D, UniRef:UniRef100_UPI000358034D, UniRef:UniRef50_A7N7E2, UniRef:UniRef90_A0A1B1ELD1
contig_8	26711	26920	+	KKIFNO_00155	7.9	6.0		RefSeq:WP_020334121.1, SO:0001217, UniParc:UPI0003579BE8, UniRef:UniRef100_A0A1B1EH41, UniRef:UniRef50_A0A0H0Y9E1, UniRef:UniRef90_A0A1B1EH41
contig_8	36300	37328	+	KKIFNO_00205	37.7	5.6		RefSeq:WP_020334110.1, SO:0001217, UniParc:UPI0003572A30, UniRef:UniRef100_UPI0003572A30, UniRef:UniRef50_A0A3B7D3V4, UniRef:UniRef90_A0A3B7D3V4
contig_8	53605	54462	-	KKIFNO_00270	31.6	5.5	PF00702.29|Hydrolase, PF13242.9|Hydrolase_like	PFAM:PF00702.29, PFAM:PF13242.9
contig_8	67472	68131	+	KKIFNO_00325	24.7	4.7		RefSeq:WP_020334087.1, SO:0001217, UniParc:UPI0003571DBA, UniRef:UniRef100_UPI0003571DBA, UniRef:UniRef50_A0A1B1EH74, UniRef:UniRef90_A0A1B1EH74
contig_8	68958	69257	-	KKIFNO_00335	10.7	4.6		RefSeq:WP_020334086.1, SO:0001217, UniParc:UPI0003570E80, UniRef:UniRef100_UPI0003570E80, UniRef:UniRef50_A0A1B1EH99, UniRef:UniRef90_A0A1B1EH99
contig_8	83532	83696	-	KKIFNO_00405	6.4	9.5		
contig_8	83724	83927	-	KKIFNO_00410	8.0	9.1		RefSeq:WP_020334074.1, SO:0001217, UniParc:UPI0003572605, UniRef:UniRef100_UPI0003572605, UniRef:UniRef50_S5IL26, UniRef:UniRef90_A0A1B1EH89
contig_8	87501	87782	-	KKIFNO_00425	10.9	5.9		
contig_8	116287	116550	+	KKIFNO_00535	9.5	9.4		RefSeq:WP_076633450.1, SO:0001217, UniParc:UPI000413B4EB, UniRef:UniRef100_A0A3B7CZR6, UniRef:UniRef50_A0A2I3CNR2, UniRef:UniRef90_A0A3B7CZR6
contig_8	140377	140571	-	KKIFNO_00635	7.4	5.6		RefSeq:WP_020334409.1, SO:0001217, UniParc:UPI000357B14D, UniRef:UniRef100_UPI000357B14D, UniRef:UniRef50_A0A099MG38, UniRef:UniRef90_A0A0C3E6V9
contig_8	159828	160283	-	KKIFNO_00755	16.1	4.6		RefSeq:WP_020334388.1, SO:0001217, UniParc:UPI000356EC00, UniRef:UniRef100_UPI000356EC00, UniRef:UniRef50_A0A822MYK8, UniRef:UniRef90_A0A1B1EHH0
contig_8	162007	162156	+	KKIFNO_00765	5.7	8.2		
contig_8	170930	171058	-	KKIFNO_00805	4.7	7.9		
contig_8	171147	171818	+	KKIFNO_00810	25.0	7.7		RefSeq:WP_014233591.1, SO:0001217, UniParc:UPI000243B758, UniRef:UniRef100_A0A3B7CXM5, UniRef:UniRef50_A7N792, UniRef:UniRef90_A0A1B1EHH9
contig_8	198474	198908	+	KKIFNO_00920	15.6	8.9		RefSeq:WP_014233569.1, SO:0001217, UniParc:UPI000243B64F, UniRef:UniRef100_A0A1B1EHK1, UniRef:UniRef50_A0A0D1SQI5, UniRef:UniRef90_A0A1B1EHK1
contig_8	225834	225929	+	KKIFNO_01055	3.2	12.0		SO:0001217, UniRef:UniRef50_A0A0D1GJB0
contig_8	230862	231056	+	KKIFNO_01075	7.2	5.1		SO:0001217, UniRef:UniRef50_A0A1B1EHR6, UniRef:UniRef90_A0A1B1EHR6
contig_8	231988	232137	-	KKIFNO_01085	5.7	6.0		
contig_8	286133	286306	+	KKIFNO_01350	6.4	4.4		RefSeq:WP_014233493.1, SO:0001217, UniParc:UPI000243B437, UniRef:UniRef100_A0A3B7DA27, UniRef:UniRef50_A0A829T133, UniRef:UniRef90_A7N7Q5
contig_8	286377	286772	-	KKIFNO_01355	14.8	5.1		SO:0001217, UniRef:UniRef50_A0A0C3HQN9, UniRef:UniRef90_A0A1B1EHR9
contig_8	320228	320512	-	KKIFNO_01515	11.1	10.2		RefSeq:WP_020335076.1, SO:0001217, UniParc:UPI000357FE5C, UniRef:UniRef100_UPI000357FE5C, UniRef:UniRef50_A0A0E2XA93, UniRef:UniRef90_A0A1B1EHU7
contig_8	326929	327048	-	KKIFNO_01545	4.4	8.0		
contig_8	327108	327224	+	KKIFNO_01550	4.2	7.8		
contig_8	332259	332462	+	KKIFNO_01580	7.6	4.9		RefSeq:WP_014233448.1, SO:0001217, UniParc:UPI000243B343, UniRef:UniRef100_A0A1B1EI06, UniRef:UniRef50_F9RBT4, UniRef:UniRef90_A0A1B1EI06
contig_8	339450	340280	+	KKIFNO_01630	30.9	8.8		RefSeq:WP_014233438.1, SO:0001217, UniParc:UPI000243B339, UniRef:UniRef100_A0A3B7D077, UniRef:UniRef50_A0A1B1EI21, UniRef:UniRef90_A0A1B1EI21
