#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_8	cds	32	304	+	KKIFNO_00005		Glyceraldehyde-3-phosphate dehydrogenase-like protein	SO:0001217, UniRef:UniRef50_A0A833UI40
contig_8	cds	566	787	+	KKIFNO_00010		hypothetical protein	RefSeq:WP_014233763.1, SO:0001217, UniParc:UPI000243BCDB, UniRef:UniRef100_A0A1B1EH10, UniRef:UniRef50_A0A1E5BDZ6, UniRef:UniRef90_A0A0L7U885
contig_8	cds	908	1522	-	KKIFNO_00015	rhtB	lysine transporter LysE	COG:COG1280, COG:E, RefSeq:WP_020334140.1, SO:0001217, UniParc:UPI000357B887, UniRef:UniRef100_A0A1B1EH27, UniRef:UniRef50_A0A1N6MBE7, UniRef:UniRef90_A0A0P7FDV6
contig_8	cds	1617	2531	-	KKIFNO_00020		LysR family transcriptional regulator	RefSeq:WP_014233761.1, SO:0001217, UniParc:UPI000243BBDA, UniRef:UniRef100_UPI000243BBDA, UniRef:UniRef50_A7N7A6, UniRef:UniRef90_A0A1B1EH42
contig_8	cds	2573	3028	-	KKIFNO_00025	lrp	ArsR family transcriptional regulator	COG:COG1522, COG:K, RefSeq:WP_014233760.1, SO:0001217, UniParc:UPI000243BBD9, UniRef:UniRef100_A0A3B7CZL0, UniRef:UniRef50_A7N7A4, UniRef:UniRef90_Q87GT1
contig_8	cds	3208	4470	+	KKIFNO_00030	yjeH	L-methionine/branched-chain amino acid transporter	KEGG:K16263, RefSeq:WP_014233759.1, SO:0001217, UniParc:UPI000243BBD8, UniRef:UniRef100_UPI000243BBD8, UniRef:UniRef50_A0A7Y7DWZ4, UniRef:UniRef90_A0A1B1EHQ7
contig_8	cds	4475	5905	-	KKIFNO_00035		PLP-dependent aminotransferase family protein	KEGG:K00375, RefSeq:WP_020334139.1, SO:0001217, UniParc:UPI000357B1A2, UniRef:UniRef100_UPI000357B1A2, UniRef:UniRef50_A7N7B9, UniRef:UniRef90_A0A1B1EHC3
contig_8	cds	6016	6687	+	KKIFNO_00040		pyridoxamine 5'-phosphate oxidase family protein	KEGG:K07005, RefSeq:WP_020334138.1, SO:0001217, UniParc:UPI000357810C, UniRef:UniRef100_UPI000357810C, UniRef:UniRef50_F9T6G7, UniRef:UniRef90_A0A1B1EH22
contig_8	cds	6852	8174	+	KKIFNO_00045		ubiquinol-cytochrome C reductase	RefSeq:WP_020334137.1, SO:0001217, UniParc:UPI000357FF79, UniRef:UniRef100_UPI000357FF79, UniRef:UniRef50_A0A0J8JI21, UniRef:UniRef90_A0A1B1EH32
contig_8	cds	8306	9652	+	KKIFNO_00050	mgtE	magnesium transporter	COG:COG2239, COG:P, RefSeq:WP_014233755.1, SO:0001217, UniParc:UPI000243BBD4, UniRef:UniRef100_A0A1B1EH53, UniRef:UniRef50_A7N7C5, UniRef:UniRef90_D0WXL1
